,YEAR,SERIAL,MONTH,PERNUM,WTFINL,CPSIDP,AGE,SEX,RACE,HISPAN,EMPSTAT,EDUC
1424914,2021,35922,4,1,594.6113,20210303599901,80,2,100,0,36,81
547023,2020,36759,8,1,820.8558,20200803675901,73,1,100,0,10,123
2975588,2022,26048,7,4,1548.7632,20210602570904,3,2,100,0,0,1
103479,2020,69293,3,1,311.144,20191206924901,51,1,100,0,10,123
486091,2020,63635,7,1,3637.6295,20200506446601,80,1,100,0,36,123
414655,2020,11561,7,3,1878.6286,20190501184803,18,2,651,0,34,73
2955945,2022,12715,7,2,397.0328,20210701257202,48,2,100,0,10,123
1556036,2021,49229,5,3,2982.2231,20200205074403,12,1,812,0,0,1
846559,2020,17237,11,1,4378.4016,20190801754701,63,2,200,0,10,81
452853,2020,39192,7,1,4055.3563,20200703919201,65,2,100,0,12,111
3136595,2022,65834,8,2,797.9657,20210806502502,37,1,100,0,32,60
285223,2020,56065,5,2,0.0,20200405646002,37,1,100,0,1,123
2769442,2022,25943,5,2,1860.2707,20210502576902,6,1,200,0,0,1
3078042,2022,26444,8,1,1826.8948,20220602658001,30,1,100,0,10,73
3279320,2022,24617,10,1,4296.0461,20210902432401,41,2,100,100,10,73
2572409,2022,31824,3,1,4332.2345,20220203174901,28,1,100,0,10,111
3332046,2022,60932,10,2,1933.2475,20220706098502,17,2,100,0,34,71
445571,2020,34255,7,1,4361.8413,20200503468501,68,2,802,0,36,123
1414817,2021,29502,4,3,3339.0459,20210402950203,6,1,100,0,0,1
255417,2020,34378,5,2,3076.3185,20200203486102,12,1,200,0,0,1
1212293,2021,39044,2,1,5759.3266,20201103903101,53,2,200,0,10,73
3146847,2022,4351,9,1,2843.1878,20220800436101,40,2,200,0,10,73
2703391,2022,51889,4,1,3194.7029,20220205163601,75,2,100,0,36,125
3020627,2022,57112,7,1,4601.8467,20220705711201,30,1,100,100,10,111
606979,2020,8048,9,2,4265.4943,20200800807402,22,2,651,0,34,111
1427400,2021,37367,4,3,2349.1893,20200203826703,22,1,200,0,34,73
3235277,2022,63878,9,6,4021.9861,20210906304706,43,1,100,100,34,73
3250564,2022,5549,10,3,4501.3659,20220700547103,9,1,100,100,0,1
708774,2020,2797,10,2,3156.1072,20191000281002,51,1,100,100,32,10
818080,2020,92,11,2,2245.3995,20191000008902,46,2,200,0,10,73
170492,2020,45013,4,2,2949.703,20190104574102,72,2,100,0,36,81
1695776,2021,2112,7,4,605.2827,20200500216604,16,1,802,0,34,40
2352697,2022,21761,1,4,5942.526,20201102177004,7,2,200,100,0,1
3400632,2022,39003,11,2,4893.2748,20220903906602,64,1,100,612,10,60
1891780,2021,59528,8,1,5099.1067,20210605967901,34,1,100,100,10,81
2704948,2022,52941,4,1,1090.2318,20210305306901,46,1,100,0,10,111
1533880,2021,34895,5,2,431.853,20210403514202,65,2,100,0,36,73
1358358,2021,63960,3,1,3765.7368,20210206404001,80,2,100,0,32,73
1629081,2021,26399,6,1,1327.7447,20210502652201,85,2,200,0,36,30
3095347,2022,38047,8,3,823.3986,20210503789603,7,2,100,0,0,1
1986950,2021,53700,9,2,2382.1186,20210605384502,64,2,200,0,10,91
2537652,2022,8300,3,2,3210.2281,20201200833402,78,1,100,0,36,81
3017513,2022,54928,7,1,617.2702,20210705427801,51,1,100,0,10,81
1520759,2021,26474,5,2,1623.3012,20210302668702,57,2,200,0,10,73
2988707,2022,34854,7,4,2889.4828,20210603438703,8,2,100,0,0,1
755347,2020,30440,10,1,4025.0844,20190703094501,58,2,100,100,32,73
1803971,2021,3682,8,2,1571.8205,20210500363702,35,1,100,0,10,111
1819492,2021,13282,8,4,489.4116,20210801328204,4,1,100,0,0,1
1193130,2021,26632,2,4,908.8925,20201202656704,9,2,100,0,0,1
1653243,2021,42400,6,3,4549.7666,20210304304203,23,1,100,0,32,71
3626022,2023,58709,1,2,3311.6918,20211105580002,30,1,100,0,10,111
104614,2020,70121,3,2,321.3232,20200207023902,42,2,100,0,10,111
1338268,2021,50909,3,1,2037.9346,20200105202201,41,1,100,100,10,73
1702297,2021,6153,7,5,6648.0316,20210600615105,6,2,100,100,0,1
2906635,2022,48503,6,1,3325.2393,20220604850301,61,1,100,0,10,92
2705071,2022,53025,4,2,1407.2827,20210405304502,25,2,100,0,10,111
3066392,2022,19052,8,1,1269.5056,20220501907901,33,1,652,0,10,81
1659000,2021,46114,6,1,442.6121,20210304683401,29,2,100,0,10,111
1513478,2021,22078,5,3,2171.6727,20200502251604,0,1,100,0,0,1
1472082,2021,65635,4,1,625.8288,20210106590001,71,2,100,0,36,91
1613903,2021,17254,6,2,4397.6153,20200301786602,4,2,100,100,0,1
3492620,2022,33837,12,2,3685.0055,20220903389203,32,2,100,612,34,123
3018152,2022,55369,7,4,4802.025,20210705469804,20,1,100,0,34,81
599044,2020,3712,9,1,2997.5041,20200700372001,46,1,802,0,10,111
61344,2020,40490,3,1,4569.3807,20181204103001,28,1,100,0,10,111
1171403,2021,13585,2,1,3848.6069,20201201354401,72,1,100,0,36,124
657613,2020,39454,9,2,7467.9367,20190604029602,1,2,100,400,0,1
2159158,2021,29544,11,1,2603.1794,20210802945103,68,1,100,0,10,125
1050391,2021,7151,1,1,3546.419,20191000720401,55,2,651,0,10,73
683314,2020,55764,9,1,3151.5249,20200905576401,69,2,100,0,10,73
2865076,2022,20228,6,1,1111.2958,20220302011801,29,1,100,0,10,92
2957939,2022,14422,7,2,4498.3236,20210501427002,47,1,100,300,10,73
2512761,2022,60843,2,4,1450.8137,20201106105904,23,1,100,0,10,81
980738,2020,31868,12,3,3259.8937,20191103253603,24,2,651,0,10,111
2223873,2021,4974,12,8,7672.4426,20211000495108,26,1,200,0,10,73
322883,2020,13481,6,2,424.3864,20190301385402,39,1,100,0,10,81
3548676,2023,5308,1,3,6560.0255,20230100530803,18,1,803,0,34,81
2198737,2021,56643,11,1,5748.8176,20210905620801,38,2,100,100,34,81
708155,2020,2444,10,4,2912.9602,20190700251204,17,1,100,100,32,50
3216927,2022,51455,9,2,4693.5402,20220605167902,27,2,100,100,10,73
2492927,2022,47538,2,2,8011.2385,20201104787502,35,2,200,0,10,81
569367,2020,52208,8,3,3909.0611,20200705221403,48,2,100,0,10,91
962114,2020,19989,12,1,753.1655,20201201998901,38,1,100,0,10,73
2201484,2021,58351,11,3,4604.474,20210805788103,18,2,100,100,34,73
1538685,2021,37789,5,4,948.4245,20210503778904,21,1,100,0,10,81
816168,2020,67637,10,2,3534.457,20200706751002,55,2,100,0,10,73
1644222,2021,36102,6,1,1260.5091,20200503698101,59,1,100,0,10,111
843557,2020,15323,11,1,5348.4349,20190801558501,64,2,200,0,36,111
3535512,2022,64346,12,3,3147.5202,20220906426103,6,2,100,200,0,1
2113084,2021,67395,10,1,305.4757,20200706803601,71,1,100,0,36,73
813231,2020,65639,10,4,749.2702,20191006691602,52,2,100,0,10,73
64636,2020,43041,3,3,6391.9726,20190104347403,11,2,100,200,0,1
109268,2020,2972,4,2,3984.8636,20190100300402,27,2,100,100,10,81
2871610,2022,24389,6,3,2832.2115,20210602400503,3,1,100,0,0,1
2348456,2022,19159,1,2,1012.4025,20201101917302,48,2,200,0,32,2
583612,2020,62297,8,6,424.2673,20190706339306,7,1,100,0,0,1
3323452,2022,55168,10,2,3983.1817,20220705531502,44,2,100,0,34,111
3588338,2023,32408,1,1,2106.3947,20221005041301,80,1,100,0,36,73
1427187,2021,37250,4,2,1696.2657,20200303809602,69,1,200,0,36,30
539843,2020,31918,8,1,3906.3361,20200803191801,46,2,100,0,10,125
805334,2020,60927,10,2,1546.101,20200806077902,70,2,100,0,32,81
2807038,2022,50846,5,1,2964.0308,20220205074001,80,2,100,0,36,73
2990202,2022,35995,7,5,709.6588,20210403598605,9,1,100,0,0,1
3599487,2023,40265,1,2,3977.9646,20220104532502,55,2,100,0,32,81
3527091,2022,58706,12,1,4874.19,20211105832601,39,1,100,0,10,81
1520654,2021,26398,5,2,1360.1568,20200402709902,79,2,100,0,36,91
2485776,2022,42595,2,7,6040.495,20220104263507,21,2,200,0,34,81
3052042,2022,8904,8,3,3837.0738,20220500883603,35,1,651,0,10,73
978663,2020,30492,12,1,4016.0881,20201003052301,49,1,100,0,10,81
3076400,2022,25372,8,1,2719.4621,20220702542201,60,1,100,0,32,91
431253,2020,23810,7,2,2085.6773,20190402447302,57,2,100,0,36,73
2747878,2022,11575,5,1,824.113,20210501145801,30,2,100,0,10,111
1256565,2021,67717,2,3,2152.6101,20200106902903,10,1,100,0,0,1
677432,2020,51923,9,2,5298.2109,20200705192102,17,1,100,0,10,50
808586,2020,62928,10,3,5304.9816,20191006407803,29,1,100,0,10,81
2498561,2022,51298,2,1,4598.3364,20211205119201,28,2,100,0,12,73
1646259,2021,37342,6,3,2377.2069,20200303870203,3,2,100,0,0,1
2201494,2021,58356,11,1,3970.7659,20200805868101,40,2,100,100,10,73
352036,2020,34650,6,4,3685.5453,20200303529004,18,2,100,0,10,60
1748576,2021,35240,7,2,480.3526,20210603529802,48,2,100,0,10,73
2255342,2021,25142,12,1,2792.7568,20201102526201,65,2,100,0,36,73
201148,2020,66219,4,2,3571.8608,20200406621902,59,1,100,0,36,73
2837455,2022,2186,6,4,855.1387,20220500218404,6,2,100,0,0,1
1924879,2021,12654,9,1,531.8036,20200601285001,37,2,200,0,10,123
838816,2020,11747,11,1,724.8884,20200901175501,57,2,100,0,10,111
862021,2020,26177,11,5,2319.3368,20190902661005,6,1,200,0,0,1
3333475,2022,61813,10,2,427.9773,20210906108902,49,2,100,0,10,73
1647198,2021,37953,6,2,834.8673,20210503819202,64,2,100,0,36,73
1862997,2021,40745,8,1,807.5945,20210804074501,85,2,100,0,36,71
1114085,2021,47730,1,2,3402.3831,20191204854902,53,1,300,0,32,81
62765,2020,41561,3,3,986.0804,20190304198804,13,1,100,100,0,1
2342669,2022,15497,1,2,4154.0135,20211001534802,62,2,100,0,36,73
1755328,2021,39652,7,3,1278.4796,20210504001303,23,2,100,0,10,73
118180,2020,8372,4,3,3030.1679,20200200838203,3,2,100,100,0,1
3279849,2022,24966,10,1,2332.1966,20210902466301,75,2,100,0,36,91
3112069,2022,49670,8,3,1338.1395,20220804967003,8,2,100,100,0,1
285733,2020,56489,5,2,2416.6138,20200305713602,62,1,100,0,12,73
3198202,2022,38339,9,1,926.2755,20210603793201,76,1,100,0,36,73
488247,2020,64897,7,1,3811.1101,20200606522301,31,2,100,0,34,123
3172436,2022,21203,9,5,3784.3755,20210602093106,18,1,100,100,10,73
822831,2020,2961,11,1,3064.903,20201000298001,59,1,100,0,10,123
1356964,2021,63139,3,3,3432.7746,20200306437203,10,1,100,0,0,1
3031333,2022,64350,7,5,3442.5915,20220406457305,11,1,100,0,0,1
3350423,2022,4931,11,1,3268.6765,20220900495101,85,2,100,0,36,111
403207,2020,4048,7,1,2309.3699,20200400411301,42,1,100,0,10,73
1819734,2021,13469,8,1,3650.6812,20210501347901,80,1,100,0,36,73
2034746,2021,16482,10,1,3521.7436,20200701661201,85,1,100,0,36,81
820988,2020,1842,11,1,439.1892,20191100183801,37,2,100,0,10,73
956072,2020,16600,12,2,4256.955,20191001696802,55,2,100,300,10,73
1459147,2021,57790,4,1,4287.5237,20200205913501,38,2,100,100,10,73
272043,2020,46593,5,1,473.2392,20200304713301,53,1,100,0,10,73
2417044,2022,65647,1,1,1094.9052,20211206547101,33,2,100,0,34,111
3093963,2022,37170,8,3,3396.2831,20210803675103,1,1,200,0,0,1
781378,2020,46429,10,1,473.4919,20190704713301,23,1,100,0,10,92
3083496,2022,30110,8,4,5888.9922,20220603028203,1,1,100,0,0,1
2602887,2022,53456,3,2,5268.0858,20220105351702,23,2,100,0,10,123
1219454,2021,44038,2,1,8981.4979,20210104413701,30,1,100,0,10,73
1369775,2021,2447,4,2,3900.1403,20200100253802,53,2,100,0,10,73
1991067,2021,56584,9,2,3983.6205,20200805737002,60,2,651,0,10,30
622511,2020,18183,9,1,682.4343,20200801817101,70,1,651,0,36,111
1551833,2021,46492,5,1,365.5413,20200304792601,85,1,100,0,36,73
2760808,2022,20436,5,3,4574.2616,20220202028403,51,2,651,0,10,60
2027473,2021,11131,10,4,470.3102,20210901114604,3,2,100,0,0,1
2098489,2021,58072,10,1,5091.0066,20200905860401,41,1,200,0,10,111
565206,2020,49343,8,2,1776.6798,20200604963102,77,2,100,0,36,111
1864741,2021,41997,8,8,5229.6685,20200704260108,19,2,100,200,34,40
3077045,2022,25858,8,1,2271.1872,20220702591401,59,2,100,0,10,111
2464661,2022,28085,2,1,4895.367,20210202827301,57,1,200,0,10,123
1174795,2021,15742,2,3,3581.0046,20200101608103,10,1,100,100,0,1
1000011,2020,44609,12,1,3900.3992,20201104464201,30,2,200,0,10,81
3212769,2022,48688,9,2,4678.9991,20220904868802,30,2,200,0,10,91
676609,2020,51324,9,1,6594.4425,20190905223701,31,1,200,0,10,81
924527,2020,65080,11,2,3497.9017,20191106637602,55,2,100,0,10,92
2624033,2022,68091,3,1,457.7512,20211206796101,21,1,100,0,10,71
145811,2020,27849,4,1,1871.6618,20200102794701,28,1,100,0,10,81
84351,2020,56395,3,1,546.2165,20181205702601,63,1,100,0,10,73
1654604,2021,43201,6,3,4161.0092,20210404378203,61,1,100,0,10,111
1959956,2021,35477,9,1,688.8355,20210703547001,63,1,100,0,10,81
1533986,2021,34961,5,2,400.3891,20210503496102,5,1,100,0,0,1
754334,2020,29759,10,1,3116.8399,20201002975901,62,2,651,0,34,2
2364118,2022,29427,1,1,3893.2629,20211102922301,24,1,100,400,10,81
